stateid,state_2001,dist01_census2001,district_2001_name,state_2026,current_districts_2026,reorg_events,status,notes,distid_ihds_internal_DO_NOT_JOIN_ON_THIS,distname_code_legacy
9,Uttar Pradesh,7.0,Meerut,Uttar Pradesh,Meerut,No change identified since 2001,CONFIRMED,,7,907.0
9,Uttar Pradesh,9.0,Ghaziabad,Uttar Pradesh,Ghaziabad; Hapur,"2011 district creation (Hapur initially named Panchsheel Nagar, renamed 2012)",CONFIRMED,,9,909.0
9,Uttar Pradesh,10.0,Gautam Buddha Nagar,Uttar Pradesh,Gautam Buddha Nagar,No change identified since 2001,CONFIRMED,,10,910.0
9,Uttar Pradesh,13.0,Hathras,Uttar Pradesh,Hathras,No change identified since 2001,CONFIRMED,,13,913.0
9,Uttar Pradesh,14.0,Mathura,Uttar Pradesh,Mathura,No change identified since 2001,CONFIRMED,,14,914.0
9,Uttar Pradesh,15.0,Agra,Uttar Pradesh,Agra,No change identified since 2001,CONFIRMED,,15,915.0
9,Uttar Pradesh,19.0,Budaun,Uttar Pradesh,Budaun; Sambhal (partial),2011 district creation -- Sambhal carved from parts of both Moradabad and Budaun,PROVISIONAL - needs verification,"Same Sambhal ambiguity as Moradabad row -- do not double count Sambhal population if aggregating Confirmed this round via two independent sources (Wikipedia + Hindustan Times Labs shapefile documentation): Sambhal's parent districts are exactly Moradabad and Budaun, no others. Still needs sub-district detail to fully resolve household-level assignment.",19,919.0
9,Uttar Pradesh,20.0,Bareilly,Uttar Pradesh,Bareilly,No change identified since 2001,CONFIRMED,,20,920.0
9,Uttar Pradesh,23.0,Kheri,Uttar Pradesh,Lakhimpur Kheri,No boundary change identified; district commonly listed as Lakhimpur Kheri,CONFIRMED,,23,923.0
9,Uttar Pradesh,24.0,Sitapur,Uttar Pradesh,Sitapur,No change identified since 2001,CONFIRMED,,24,924.0
9,Uttar Pradesh,28.0,Lucknow,Uttar Pradesh,Lucknow,No change identified since 2001 (split proposals exist but not notified),CONFIRMED,,28,928.0
9,Uttar Pradesh,29.0,Farrukabad,Uttar Pradesh,Farrukhabad,No change identified since 2001,CONFIRMED,,29,929.0
9,Uttar Pradesh,30.0,Kannauj,Uttar Pradesh,Kannauj,No change identified since 2001,CONFIRMED,,30,930.0
9,Uttar Pradesh,33.0,Kanpur Dehat,Uttar Pradesh,Kanpur Dehat,No change identified since 2001,CONFIRMED,,33,933.0
9,Uttar Pradesh,34.0,Kanpur Nagar,Uttar Pradesh,Kanpur Nagar,No change identified since 2001,CONFIRMED,,34,934.0
9,Uttar Pradesh,36.0,Jhansi,Uttar Pradesh,Jhansi,No change identified since 2001,CONFIRMED,,36,936.0
9,Uttar Pradesh,40.0,Banda,Uttar Pradesh,Banda,No change identified since 2001,CONFIRMED,,40,940.0
9,Uttar Pradesh,41.0,Chitrakoot,Uttar Pradesh,Chitrakoot,No change identified since 2001,CONFIRMED,,41,941.0
9,Uttar Pradesh,42.0,Fatehpur,Uttar Pradesh,Fatehpur,No change identified since 2001,CONFIRMED,"RESOLVED: the label missing from IHDS-I's own DISTNAME dictionary (code 942) was found in IHDS-II's DISTRICT value-label dictionary, which uses the identical state+DIST01 numbering scheme and confirms code 942 = Fatehpur. Cross-wave lookup, not a guess.",42,942.0
9,Uttar Pradesh,44.0,Kaushambi,Uttar Pradesh,Kaushambi,No change identified since 2001,CONFIRMED,,44,944.0
9,Uttar Pradesh,45.0,Allahabad,Uttar Pradesh,Prayagraj,Renamed from Allahabad to Prayagraj (2018); boundary unchanged,CONFIRMED,,45,945.0
9,Uttar Pradesh,46.0,Barabanki,Uttar Pradesh,Barabanki,No change identified since 2001,CONFIRMED,,46,946.0
9,Uttar Pradesh,47.0,Faizabad,Uttar Pradesh,Ayodhya,Renamed from Faizabad to Ayodhya (2018); boundary unchanged,CONFIRMED,Verified this round: Faizabad was NOT a parent district of Amethi (that uncertainty is now resolved -- see Sultanpur row) -- Faizabad/Ayodhya is a clean rename only,47,947.0
9,Uttar Pradesh,48.0,Ambedkar Nagar,Uttar Pradesh,Ambedkar Nagar,No change identified since 2001,CONFIRMED,,48,948.0
9,Uttar Pradesh,49.0,Sultanpur,Uttar Pradesh,Sultanpur; Amethi (partial),2010 district creation -- Amethi confirmed carved from Sultanpur and Rae Bareli only (not Faizabad),CONFIRMED,"Verified this round via Hindustan Times Labs' shapefile documentation project, cross-checked with Wikipedia: Amethi's parent districts are Sultanpur and Rae Bareli only. District-level assignment still can't fully resolve which Sultanpur households fall in Amethi vs. Sultanpur without sub-district detail, but the parent-district ambiguity with Faizabad is now resolved",49,949.0
9,Uttar Pradesh,50.0,Bahraich,Uttar Pradesh,Bahraich,"No boundary change identified, but one GIS source flagged possible shapefile discrepancies with neighboring Shravasti -- worth a second check if doing spatial work",PROVISIONAL - needs verification,"Confirmed this round: this is a real, documented cartographic dispute -- Hindustan Times investigated it directly, emailing UP's National Informatics Centre in 2017 about an apparent error in official GIS shapefiles where Bahraich appears to have subsumed part of Shravasti. Not resolved, but now confirmed as a genuine known issue rather than a single unverified flag.",50,950.0
9,Uttar Pradesh,51.0,Sharawasti,Uttar Pradesh,Shravasti,Same shapefile-accuracy flag as Bahraich,PROVISIONAL - needs verification,"Confirmed this round: this is a real, documented cartographic dispute -- Hindustan Times investigated it directly, emailing UP's National Informatics Centre in 2017 about an apparent error in official GIS shapefiles where Bahraich appears to have subsumed part of Shravasti. Not resolved, but now confirmed as a genuine known issue rather than a single unverified flag.",51,951.0
9,Uttar Pradesh,54.0,Siddharathnagar,Uttar Pradesh,Siddharthnagar,No change identified since 2001,CONFIRMED,,54,954.0
9,Uttar Pradesh,58.0,Gorakhpur,Uttar Pradesh,Gorakhpur,No change identified since 2001,CONFIRMED,,58,958.0
9,Uttar Pradesh,59.0,Kushinagar,Uttar Pradesh,Kushinagar,"No change identified since 2001 (already split from Deoria in 1994, pre-dating both IHDS waves)",CONFIRMED,,59,959.0
9,Uttar Pradesh,60.0,Deoria,Uttar Pradesh,Deoria,No change identified since 2001,CONFIRMED,,60,960.0
9,Uttar Pradesh,62.0,Mau,Uttar Pradesh,Mau,No change identified since 2001,CONFIRMED,,62,962.0
9,Uttar Pradesh,63.0,Baliya,Uttar Pradesh,Ballia,No change identified since 2001,CONFIRMED,,63,963.0
9,Uttar Pradesh,65.0,Ghazipur,Uttar Pradesh,Ghazipur,No change identified since 2001,CONFIRMED,,65,965.0
9,Uttar Pradesh,66.0,Chandauli,Uttar Pradesh,Chandauli,No change identified since 2001,CONFIRMED,,66,966.0
9,Uttar Pradesh,67.0,Varanasi,Uttar Pradesh,Varanasi,No change identified since 2001,CONFIRMED,,67,967.0
9,Uttar Pradesh,68.0,Sant Ravidas Nagar,Uttar Pradesh,Bhadohi,Commonly referred to today as Bhadohi rather than Sant Ravidas Nagar; boundary unchanged,PROVISIONAL - needs verification,Official current legal name vs. common name not independently confirmed,68,968.0
10,Bihar,2.0,Purbi Champaran,Bihar,Purbi Champaran (East Champaran),"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",2,1002.0
10,Bihar,5.0,Madhubani,Bihar,Madhubani,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",5,1005.0
10,Bihar,6.0,Supaul,Bihar,Supaul,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",6,1006.0
10,Bihar,9.0,Purnia,Bihar,Purnia,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",9,1009.0
10,Bihar,12.0,Saharsa,Bihar,Saharsa,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",12,1012.0
10,Bihar,14.0,Muzaffar Pur,Bihar,Muzaffarpur,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",14,1014.0
10,Bihar,16.0,Siwan,Bihar,Siwan,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",16,1016.0
10,Bihar,17.0,Saran,Bihar,Saran,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",17,1017.0
10,Bihar,22.0,Bhagal Pur,Bihar,Bhagalpur,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",22,1022.0
10,Bihar,23.0,Banka,Bihar,Banka,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",23,1023.0
10,Bihar,26.0,Sheikhpura,Bihar,Sheikhpura,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",26,1026.0
10,Bihar,27.0,Nalanda,Bihar,Nalanda,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",27,1027.0
10,Bihar,28.0,Patna,Bihar,Patna,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",28,1028.0
10,Bihar,30.0,Buxar,Bihar,Buxar,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",30,1030.0
10,Bihar,31.0,Kaimur (Bhabua),Bihar,Kaimur (Bhabua),"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",31,1031.0
10,Bihar,32.0,Rohtas,Bihar,Rohtas,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",32,1032.0
10,Bihar,35.0,Gaya,Bihar,Gaya,"No change since 2001 -- confirmed: Bihar has had no new districts since Arwal was carved from Jehanabad in August 2001 (Jehanabad not in this sample), verified against multiple independent sources",CONFIRMED,"Verified this round: Bihar remains at 38 districts, unchanged since 2001",35,1035.0
11,Sikkim,1.0,East Sikkim,Sikkim,East Sikkim (Gangtok),"No change identified since 2001; Sikkim reorganized its historic 4 districts into 6 in 2021/2022, splitting East Sikkim -- verify which side of that split this DISTID falls on",PROVISIONAL - needs verification,Sikkim's 2021-22 reorganization is real and post-dates this DISTID's assignment -- needs a follow-up check,0,1101.0
12,Arunachal Pradesh,1.0,Papujm Prae,Arunachal Pradesh,Papum Pare (best guess at intended name),Arunachal Pradesh created many new districts 2015-2020 by splitting existing ones; unclear whether any affect this specific district,WEAK - low confidence,"DISTNAME label itself appears garbled/truncated in the raw file ('Papujm Prae') -- likely Papum Pare but not certain. Single-district state in this sample so no DISTID collision, but the label quality itself is suspect -- verify spelling against codebook DIST01 is also uncoded (=0) for this state -- the garbled name label cannot be cross-checked against the Census 2001 code either.",0,1201.0
13,Nagaland,,Mokochung,Nagaland,,No change identified,UNRESOLVED,"NOT USABLE FOR HOUSEHOLD/PSU ASSIGNMENT: all 4 sampled Nagaland districts (Mokochung, Wokha, Dimapur, Kohima) share DISTID=0 in this file with no other distinguishing field. This row is a name-level reference only -- it cannot tell you which household belongs to which district. Resolving this requires the official IHDS-I codebook or another identifying variable not present in the household file Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
13,Nagaland,,Wokkha,Nagaland,,No change identified,UNRESOLVED,"See DISTID=0 anomaly note on the Mokochung row above -- same limitation applies Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
13,Nagaland,,Dimapur,Nagaland,,No change identified,UNRESOLVED,"See DISTID=0 anomaly note above Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
13,Nagaland,,Kohima,Nagaland,,2021 district creation (Chumoukedima carved from Kohima),UNRESOLVED,"See DISTID=0 anomaly note above -- reorg event listed for reference only, cannot be attributed to specific households Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
14,Manipur,,Imphal West,Manipur,,No change identified,UNRESOLVED,"NOT USABLE FOR HOUSEHOLD/PSU ASSIGNMENT: sampled Manipur districts share DISTID=0. One row in the raw file has a completely missing DISTNAME label as well -- a further, separate data gap Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
14,Manipur,,Imphal East,Manipur,,No change identified,UNRESOLVED,"See note above Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
15,Mizoram,1.0,Aizawl,Mizoram,Aizawl,No boundary change identified for this specific district in this research pass,PROVISIONAL - needs verification,Mizoram has added several new districts since 2001 elsewhere in the state; not confirmed whether any affect Aizawl specifically,0,1501.0
16,Tripura,,West Tripura,Tripura,,2012 district creation,UNRESOLVED,"NOT USABLE FOR HOUSEHOLD/PSU ASSIGNMENT: both sampled Tripura districts share DISTID=0 Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
16,Tripura,,South Tripura,Tripura,,2012 district creation,UNRESOLVED,"See note above Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
17,Meghalaya,,RBHOI,Meghalaya,,No change identified (name is an abbreviation/transliteration of Ri Bhoi),UNRESOLVED,"NOT USABLE FOR HOUSEHOLD/PSU ASSIGNMENT: all 3 sampled Meghalaya districts share DISTID=0 Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
17,Meghalaya,,East Khasi Hills,Meghalaya,,"No split identified for East Khasi Hills specifically (West Khasi Hills, a different 2001 district not sampled here, was the one split in later reorganizations)",UNRESOLVED,"See note above Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
17,Meghalaya,,Jaintia Hills,Meghalaya,,2012 district creation (Jaintia Hills split into East and West),UNRESOLVED,"See note above Checked further: the file's other district-code field (DIST01, the Census 2001 district code that successfully resolved similar collisions in MP/Karnataka/Gujarat/Tamil Nadu/Rajasthan/Delhi) is ALSO uncoded (=0) for every sampled household in this state. This is a genuine data gap in the source file for this state, not something resolvable without an external file.",0,
18,Assam,2.0,Dhubri,Assam,Dhubri; South Salmara-Mankachar,2015 district creation (South Salmara-Mankachar carved from Dhubri),CONFIRMED,,2,1802.0
18,Assam,3.0,Goalpara,Assam,Goalpara,No change identified since 2001 (Kokrajhar/Bongaigaon already split off pre-2001),CONFIRMED,,3,1803.0
18,Assam,6.0,Kamrup,Assam,Kamrup (Rural); Kamrup Metropolitan; Baksa (partial); Bajali (partial),"2003 district creation (Kamrup Metropolitan); 2004 district creation (Baksa, from Barpeta/Nalbari/Kamrup); Bajali created 2020 (recreated as standalone 2023) -- administrative existence of Kamrup, Kamrup Metropolitan, Nalbari, and Baksa as four distinct districts CONFIRMED via the 2011 Census District Census Handbook official village-level release (district codes 321/322/323/324)",PROVISIONAL - needs verification,"Upgraded this round using a primary source: the 2011 Census District Census Handbook (village-level release for Assam, state code 1800) confirms Kamrup, Kamrup Metropolitan, Nalbari, and Baksa were all distinct, officially coded Census districts by 2011. This resolves the administrative-history question with certainty. What it CANNOT resolve is which of IHDS's specific sampled households/PSUs (coded under 2001's single 'Kamrup' district) ended up in which of these four -- that requires linking IHDS's own (deliberately anonymized) PSU/village codes to real village names, which no external census file can supply. This is a structural limit of working with de-identified survey microdata, not something more searching or a better primary source can close.",6,1806.0
18,Assam,9.0,Marigaon,Assam,Morigaon,No boundary change identified; spelling standardized to Morigaon,PROVISIONAL - needs verification,Not individually re-verified for splits this session,9,1809.0
18,Assam,14.0,Tinsukia,Assam,Tinsukia,No change identified since 2001,CONFIRMED,,14,1814.0
18,Assam,17.0,Jorhat,Assam,Jorhat; Majuli,"2016 district creation (Majuli, India's first river-island district, carved from Jorhat)",CONFIRMED,,17,1817.0
18,Assam,19.0,Karbi Amglong,Assam,Karbi Anglong; West Karbi Anglong,2015 district creation (West Karbi Anglong carved from Karbi Anglong),CONFIRMED,,19,1819.0
18,Assam,21.0,Cachar,Assam,Cachar,No change identified since 2001 (Hailakandi/Karimganj already split off pre-2001),CONFIRMED,,21,1821.0
19,West Bengal,1.0,Darjiling,West Bengal,Darjeeling; Kalimpong,2017 district creation (Kalimpong carved from Darjeeling),CONFIRMED,,1,1901.0
19,West Bengal,2.0,Jalapiguri,West Bengal,Jalpaiguri; Alipurduar,2014 district creation (Alipurduar carved from Jalpaiguri),CONFIRMED,,2,1902.0
19,West Bengal,4.0,Uttar Dinajpur,West Bengal,Uttar Dinajpur,No change since 1992 (already split from West Dinajpur pre-2001),CONFIRMED,,4,1904.0
19,West Bengal,6.0,Maldah,West Bengal,Malda,No change identified since 2001,CONFIRMED,,6,1906.0
19,West Bengal,7.0,Murshidabad,West Bengal,Murshidabad,A new 'Jangipur' district was announced (carved from Murshidabad) in the state's June 2026 budget session; implementation/notification status not yet confirmed,PROVISIONAL - needs verification,"Very recent announcement (June 2026) -- treat as provisional, not yet a finalized administrative change as of this research pass",7,1907.0
19,West Bengal,8.0,Birbhum,West Bengal,Birbhum,No change identified since 2001,CONFIRMED,,8,1908.0
19,West Bengal,9.0,Barddhaman,West Bengal,Purba Bardhaman; Paschim Bardhaman,2017 district creation (Bardhaman split into East and West),CONFIRMED,,9,1909.0
19,West Bengal,10.0,Nadia,West Bengal,Nadia,No change identified since 2001,CONFIRMED,,10,1910.0
19,West Bengal,11.0,North 24 Parganas,West Bengal,North 24 Parganas,"A new 'Basirhat' district was announced in June 2026, likely carved from North 24 Parganas; not yet confirmed as notified/operational",PROVISIONAL - needs verification,"Same caveat as Murshidabad/Jangipur -- June 2026 announcement, provisional",11,1911.0
19,West Bengal,12.0,Hugli,West Bengal,Hooghly,"A new 'Arambagh' district was announced in June 2026, likely carved from Hooghly; not yet confirmed as notified/operational",PROVISIONAL - needs verification,Provisional -- June 2026 announcement,12,1912.0
19,West Bengal,13.0,Bankura,West Bengal,Bankura,No change identified since 2001,CONFIRMED,,13,1913.0
19,West Bengal,16.0,Haora,West Bengal,Howrah,No change identified since 2001,CONFIRMED,,16,1916.0
19,West Bengal,17.0,Kolkata,West Bengal,Kolkata,A 'Kolkata (reorganisation)' item was announced in the June 2026 budget session -- exact meaning/scope unclear from available sourcing,WEAK - low confidence,Needs a dedicated follow-up search once more detail is published; do not assume this implies a district split,17,1917.0
19,West Bengal,18.0,South 24 Parganas,West Bengal,South 24 Parganas,"A new 'Sundarban' district was announced in June 2026, likely carved from North and/or South 24 Parganas; not yet confirmed as notified/operational",PROVISIONAL - needs verification,Provisional -- June 2026 announcement,18,1918.0
20,Jharkhand,2.0,Palamu,Jharkhand,Palamu; Latehar,"Latehar created 4 April 2001 via Jharkhand Government Notification No. 946, carved from Palamu only",CONFIRMED,CORRECTED and confirmed this round: earlier note speculated Chatra might also be a parent district -- primary-source confirmation from Latehar's own district administration website (citing the actual notification number) shows Palamu was the sole parent,2,2002.0
20,Jharkhand,12.0,Dhanbad,Jharkhand,Dhanbad,No change identified since 2001,CONFIRMED,,12,2012.0
20,Jharkhand,13.0,Bokaro,Jharkhand,Bokaro,No change identified since 2001,CONFIRMED,,13,2013.0
20,Jharkhand,14.0,Ranchi,Jharkhand,Ranchi; Khunti,2007 district creation (Khunti carved from Ranchi),CONFIRMED,,14,2014.0
20,Jharkhand,17.0,Pashchimi Singbhum,Jharkhand,West Singhbhum; Saraikela-Kharsawan,"Saraikela-Kharsawan created 2001 (sources vary between 1 April and 1 December 2001), carved from West Singhbhum only",CONFIRMED,"Confirmed this round via multiple independent sources (Wikipedia, Grokipedia, district government site) -- West Singhbhum is the sole parent. Minor date discrepancy across sources (April vs December 2001) not fully resolved but does not affect the parentage finding",17,2017.0
20,Jharkhand,18.0,Purbi Singhbhum,Jharkhand,East Singhbhum,No change identified since 2001,CONFIRMED,,18,2018.0
21,Orissa,1.0,Bargarh,Odisha,Bargarh,"No change since 1994; Odisha's 30 districts have been stable since 1993-94, no new district notified as of this research pass",CONFIRMED,State name Orissa officially changed to Odisha in 2011 (spelling only),1,2101.0
21,Orissa,2.0,Jharsuguda,Odisha,Jharsuguda,No change since 1994,CONFIRMED,,2,2102.0
21,Orissa,3.0,Sambalpur,Odisha,Sambalpur,No change since 1994,CONFIRMED,,3,2103.0
21,Orissa,5.0,Sundargarh,Odisha,Sundargarh,No change since 1994,CONFIRMED,,5,2105.0
21,Orissa,6.0,Kendujhar,Odisha,Kendujhar (Keonjhar),No change since 1994; spelling variant Keonjhar in common use,CONFIRMED,,6,2106.0
21,Orissa,7.0,Mayurbhanj,Odisha,Mayurbhanj,No change since 1994,CONFIRMED,,7,2107.0
21,Orissa,8.0,Baleshwar,Odisha,Baleshwar (Balasore),No change since 1994; spelling variant Balasore in common use,CONFIRMED,,8,2108.0
21,Orissa,9.0,Bhadrak,Odisha,Bhadrak,No change since 1994,CONFIRMED,,9,2109.0
21,Orissa,12.0,Cuttack,Odisha,Cuttack,No change since 1994,CONFIRMED,,12,2112.0
21,Orissa,13.0,Jajapur,Odisha,Jajapur (Jajpur),No change since 1994; spelling variant Jajpur in common use,CONFIRMED,,13,2113.0
21,Orissa,14.0,Dhenkanal,Odisha,Dhenkanal,No change since 1994,CONFIRMED,,14,2114.0
21,Orissa,15.0,Anugul,Odisha,Anugul (Angul),No change since 1994; spelling variant Angul in common use,CONFIRMED,,15,2115.0
21,Orissa,16.0,Nayagarh,Odisha,Nayagarh,No change since 1994,CONFIRMED,,16,2116.0
21,Orissa,17.0,Khordha,Odisha,Khordha,No change since 1994,CONFIRMED,,17,2117.0
21,Orissa,18.0,Puri,Odisha,Puri,No change since 1994,CONFIRMED,,18,2118.0
21,Orissa,19.0,Ganjam,Odisha,Ganjam,No change since 1994,CONFIRMED,,19,2119.0
21,Orissa,20.0,Gajapati,Odisha,Gajapati,No change since 1994,CONFIRMED,,20,2120.0
21,Orissa,21.0,Kandhamal,Odisha,Kandhamal,No change since 1994,CONFIRMED,,21,2121.0
21,Orissa,22.0,Baudh,Odisha,Baudh (Boudh),No change since 1994; spelling variant Boudh in common use,CONFIRMED,,22,2122.0
21,Orissa,23.0,Sonapur,Odisha,Subarnapur (Sonepur),"No change since 1994; official name Subarnapur, commonly called Sonepur",PROVISIONAL - needs verification,Naming variants across sources not fully reconciled -- confirm which spelling appears in current government datasets before merging,23,2123.0
21,Orissa,24.0,Balangir,Odisha,Balangir (Bolangir),No change since 1994; spelling variant Bolangir in common use,CONFIRMED,,24,2124.0
21,Orissa,26.0,Kalahandi,Odisha,Kalahandi,No change since 1994,CONFIRMED,,26,2126.0
21,Orissa,27.0,Rayagada,Odisha,Rayagada,No change since 1994,CONFIRMED,,27,2127.0
21,Orissa,28.0,Nabarangapur,Odisha,Nabarangpur,No change since 1994; spelling variant,CONFIRMED,,28,2128.0
21,Orissa,29.0,Koraput,Odisha,Koraput,No change since 1994,CONFIRMED,,29,2129.0
21,Orissa,30.0,Malkangiri,Odisha,Malkangiri,No change since 1994,CONFIRMED,,30,2130.0
22,Chhattisgarh,1.0,Koriya,Chhattisgarh,Koriya; part of Manendragarh-Chirmiri-Bharatpur (2022),2022 district creation,CONFIRMED,"Upgraded this round: multiple sources consistently group Manendragarh-Chirmiri-Bharatpur with Koriya/Surguja division, confirming the parentage",1,2201.0
22,Chhattisgarh,2.0,Sarguja,Chhattisgarh,Surguja; Surajpur; Balrampur,2012 district creation (Surajpur and Balrampur both carved from Surguja),CONFIRMED,,2,2202.0
22,Chhattisgarh,3.0,Jashpur,Chhattisgarh,Jashpur,No change identified since 2012 reorganization,CONFIRMED,,3,2203.0
22,Chhattisgarh,4.0,Raigarh,Chhattisgarh,Raigarh; part of Sarangarh-Bilaigarh (2022),2022 district creation -- Sarangarh-Bilaigarh confirmed carved from Raigarh and Baloda Bazar (the latter itself a 2012-creation from Raipur),CONFIRMED,"Verified this round via Wikipedia + district government site (sarangarh-bilaigarh.cg.gov.in), consistent across sources",4,2204.0
22,Chhattisgarh,5.0,Korba,Chhattisgarh,Korba,No change identified since 2012 reorganization,CONFIRMED,,5,2205.0
22,Chhattisgarh,6.0,Janjgir,Chhattisgarh,Janjgir-Champa,No boundary change identified beyond the standard current name; not individually re-verified for a 2022 split,PROVISIONAL - needs verification,,6,2206.0
